dt|_ent|_snd|_os|_all
2018-11-15|2019-04-08 19:59:22|2019-04-08 20:11:33|2019-04-08 20:04:11|NULL
2018-11-16|2019-04-08 19:59:21|2019-04-08 20:11:26|2019-04-08 20:04:08|NULL
2018-11-17|2019-04-08 19:59:19|2019-04-08 20:11:19|2019-04-08 20:04:05|NULL
2018-11-18|2019-04-08 19:59:19|2019-04-08 20:11:17|2019-04-08 20:04:03|NULL
2018-11-19|2019-04-08 19:59:18|2019-04-08 20:11:14|2019-04-08 20:04:02|NULL
2018-11-20|2019-04-08 19:59:17|2019-04-08 20:11:07|2019-04-08 20:03:59|NULL
2018-11-21|2019-04-08 19:59:16|2019-04-08 20:11:01|2019-04-08 20:03:56|NULL
2018-11-22|2019-04-08 19:59:15|2019-04-08 20:10:57|2019-04-08 20:03:54|NULL
2018-11-23|2019-04-08 19:59:14|2019-04-08 20:10:56|2019-04-08 20:03:53|NULL
2018-11-24|2019-04-08 19:59:14|2019-04-08 20:10:54|2019-04-08 20:03:52|NULL
2018-11-25|2019-04-08 19:59:13|2019-04-08 20:10:52|2019-04-08 20:03:50|NULL
2018-11-26|2019-04-08 19:59:13|2019-04-08 20:10:50|2019-04-08 20:03:50|NULL
2018-11-27|2019-04-08 19:59:11|2019-04-08 20:10:43|2019-04-08 20:03:47|NULL
2018-11-28|2019-04-08 19:59:10|2019-04-08 20:10:36|2019-04-08 20:03:43|NULL
2018-11-29|2019-04-08 19:59:08|2019-04-08 20:10:27|2019-04-08 20:03:39|NULL
2018-11-30|2019-04-08 19:59:06|2019-04-08 20:10:16|2019-04-08 20:03:35|NULL
2018-12-01|2019-04-08 19:59:04|2019-04-08 20:10:07|2019-04-08 20:03:29|NULL
2018-12-02|2019-04-08 19:59:03|2019-04-08 20:10:04|2019-04-08 20:03:28|NULL
2018-12-03|2019-04-08 19:59:03|2019-04-08 20:10:00|2019-04-08 20:03:27|NULL
2018-12-04|2019-04-08 19:59:00|2019-04-08 20:09:49|2019-04-08 20:03:22|NULL
2018-12-05|2019-04-08 19:58:59|2019-04-08 20:09:38|2019-04-08 20:03:17|NULL
2018-12-06|2019-04-08 19:58:59|2019-04-08 20:09:38|2019-04-08 20:03:17|NULL
2018-12-07|2019-04-08 19:58:57|2019-04-08 20:09:29|2019-04-08 20:03:12|NULL
2018-12-08|2019-04-08 19:58:56|2019-04-08 20:09:19|2019-04-08 20:03:07|NULL
2018-12-09|2019-04-08 19:58:56|2019-04-08 20:09:17|2019-04-08 20:03:04|NULL
2018-12-10|2019-04-08 19:58:55|2019-04-08 20:09:14|2019-04-08 20:03:00|NULL
2018-12-11|2019-04-08 19:58:53|2019-04-08 20:09:03|2019-04-08 20:02:53|NULL
2018-12-12|2019-04-08 19:58:52|2019-04-08 20:08:54|2019-04-08 20:02:47|NULL
2018-12-13|2019-04-08 19:58:51|2019-04-08 20:08:49|2019-04-08 20:02:44|NULL
2018-12-14|2019-04-08 19:58:51|2019-04-08 20:08:48|2019-04-08 20:02:43|NULL
2018-12-15|2019-04-08 19:58:51|2019-04-08 20:08:46|2019-04-08 20:02:43|NULL
2018-12-16|2019-04-08 19:58:50|2019-04-08 20:08:46|2019-04-08 20:02:42|NULL
2018-12-17|2019-04-08 19:58:50|2019-04-08 20:08:45|2019-04-08 20:02:42|NULL
2018-12-18|2019-04-08 19:58:50|2019-04-08 20:08:44|2019-04-08 20:02:41|NULL
2018-12-19|2019-04-08 19:58:50|2019-04-08 20:08:43|2019-04-08 20:02:41|NULL
2018-12-20|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2018-12-21|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2018-12-22|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2018-12-23|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2018-12-24|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2018-12-25|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2018-12-26|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2018-12-27|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2018-12-28|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2018-12-29|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2018-12-30|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2018-12-31|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2019-01-01|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2019-01-02|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2019-01-03|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2019-01-04|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:40|NULL
2019-01-05|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:39|NULL
2019-01-06|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:39|NULL
2019-01-07|2019-04-08 19:58:50|2019-04-08 20:08:42|2019-04-08 20:02:39|NULL
2019-01-08|2019-04-08 19:58:49|2019-04-08 20:08:42|2019-04-08 20:02:39|NULL
2019-01-09|2019-04-08 19:58:49|2019-04-08 20:08:41|2019-04-08 20:02:39|NULL
2019-01-10|2019-04-08 19:58:49|2019-04-08 20:08:41|2019-04-08 20:02:39|NULL
2019-01-11|2019-04-08 19:58:49|2019-04-08 20:08:41|2019-04-08 20:02:39|NULL
2019-01-12|2019-04-08 19:58:49|2019-04-08 20:08:41|2019-04-08 20:02:39|NULL
2019-01-13|2019-04-08 19:58:49|2019-04-08 20:08:41|2019-04-08 20:02:39|NULL
2019-01-14|2019-04-08 19:58:49|2019-04-08 20:08:41|2019-04-08 20:02:38|NULL
2019-01-15|2019-04-08 19:58:49|2019-04-08 20:08:40|2019-04-08 20:02:38|NULL
2019-01-16|2019-04-08 19:58:48|2019-04-08 20:08:38|2019-04-08 20:02:36|NULL
2019-01-17|2019-04-08 19:58:47|2019-04-08 20:08:36|2019-04-08 20:02:35|NULL
2019-01-18|2019-04-08 19:58:46|2019-04-08 20:08:34|2019-04-08 20:02:33|NULL
2019-01-19|2019-04-08 19:58:46|2019-04-08 20:08:33|2019-04-08 20:02:32|NULL
2019-01-20|2019-04-08 19:58:46|2019-04-08 20:08:33|2019-04-08 20:02:32|NULL
2019-01-21|2019-04-08 19:58:46|2019-04-08 20:08:33|2019-04-08 20:02:31|NULL
2019-01-22|2019-04-08 19:58:45|2019-04-08 20:08:33|2019-04-08 20:02:31|NULL
